Cod. Empresa;EMPRESA_;RAZAO_SOCIAL;REVENDA;Empresa;Negócio;Núcleo
1.1;1;Monaco Diesel Ltda - Ananindeua;M. Diesel Ananindeua;D. Pará;Diesel;Diesel Pará
1.4;1;Monaco Diesel Tailandia;M. Diesel Tailandia;D. Tailandia;Diesel;Diesel Pará
1.3;1;Monaco Diesel Marituba;M. Diesel Marituba;D. Marituba;Diesel;Diesel Pará
1.2;1;Monaco Diesel Filial Altamira;M. Diesel Altamira;D. Altamira;Diesel;Diesel Pará
2.12;2;Monaco Motocenter Comercial Ltda - Castanhal;M. Moto. Castanhal;M.. Castanhal;Motocenter;Moto Pará
2.2;2;Monaco Motocenter Filial Capanema;M. Moto Capanema;M. Capanema;Motocenter;Moto Pará
2.3;2;Monaco Motocenter Filial Senador Lemos;M. Moto Sl Doca;M. Sl Doca;Motocenter;Moto Pará
2.4;2;Monaco Motocenter Filial Tome Acu;M. Moto Tome Acu;M. Tome Acu;Motocenter;Moto Pará
2.10;2;Monaco Motocenter Comercial Ltda - Tailandia;M. Moto Tailandia;M. Tailandia;Motocenter;Moto Pará
2.11;2;Monaco Motocenter Comercial Ltda - Dream;M. Moto Dream;M. Dream;Motocenter;Moto Pará
2.5;2;Monaco Motocenter Comercial Ltda Castanhal;M. Moto Castanhal;M. Castanhal;Motocenter;Moto Pará
2.6;2;Monaco Motocenter Comercial Ltda Abaetetuba;M. Moto Abaetetuba;M. Abaetetuba;Motocenter;Moto Pará
2.7;2;Monaco Motocenter Comercial Ltda S.M Do Guama;M. Moto S.M.Do Guama;M. S.Do Guama;Motocenter;Moto Pará
2.8;2;Monaco Motocenter Comercial Ltda Tailandia;M. Moto Tailandia;M. Tailandia;Motocenter;Moto Pará
2.9;2;Monaco Motocenter Comercial Ltda Mae Do Rio;M. Moto Mae Do Rio;M. Mae Do Rio;Motocenter;Moto Pará
2.30;2;Monaco Motocenter Comercial Ltda - Concordia Para;M. Moto Concordia Para;M. Concordia Para;Motocenter;Moto Pará
2.14;2;Monaco Motocenter Comercial Ltda-Cameta;M. Moto Cameta;M. Cameta;Motocenter;Moto Pará
2.15;2;Monaco Motocenter Comercial Ltda Breves;M. Moto Breves;M. Breves;Motocenter;Moto Pará
2.16;2;Monaco Motocenter Comercial Ltda Acara;M. Moto Acara;M. Acara;Motocenter;Moto Pará
2.17;2;Monaco Motocenter Comercial Ltda Igarape Miri;M. Moto Igarape Miri;M. Igarape Miri;Motocenter;Moto Pará
2.18;2;Monaco Motocenter Comercial Ltda Moju;M. Moto Moju;M. Moju;Motocenter;Moto Pará
2.19;2;Monaco Motocenter Comercial Ltda Barcarena;M. Moto Barcarena;M. Barcarena;Motocenter;Moto Pará
2.20;2;Monaco Motocenter Comercial Ltda Soure;M. Moto Soure;M. Soure;Motocenter;Moto Pará
2.21;2;Monaco Motocenter Comercial Ltda Sao Caetano Odi;M. Moto Sao Caetano Odi;M. Sao Caetano Odi;Motocenter;Moto Pará
2.22;2;Monaco Motocenter Comercial Ltda Capitao Poco;M. Moto Capitao Poco;M. Capitao Poco;Motocenter;Moto Pará
2.23;2;Monaco Motocenter Comercial Ltda Salinopolis;M. Moto Salinopolis;M. Salinopolis;Motocenter;Moto Pará
2.24;2;Monaco Motocenter Comercial Ltda Moto Clube;M. Moto Moto Clube;M. M. Clube;Motocenter;Moto Pará
2.25;2;Monaco Motocenter Comercial Ltda Maracana;M. Moto Maracana;M. Maracana;Motocenter;Moto Pará
2.26;2;Monaco Motocenter Comercial Ltda Bragança;M. Moto Bragança;M. Bragança;Motocenter;Moto Pará
2.33;2;Monaco Motocenter Comercial Ltd - Tome Acu;M. Moto Tome Acu;M. Tome Acu;Motocenter;Moto Pará
2.34;2;Monaco Motocenter Comercial Ltda  - Igarape Açu;M. Moto Igarape Açu;M. Igarape Açu;Motocenter;Moto Pará
2.27;2;Monaco Motocenter Comercial Ltda-Piria;M. Moto Nova Esperança;M. Nova Esperança;Motocenter;Moto Pará
2.28;2;Monaco Motocenter Comercial Ltda-Garrafao;M. Moto Garrafao Do Norte;M. Garrafao Do Norte;Motocenter;Moto Pará
2.13;2;Monaco Motocenter Comercial Ltda-Vila Dos Cabanos;M. Moto Vila Do Cabanos;M. Vila Do Cabanos;Motocenter;Moto Pará
2.31;2;Monaco Motocenter Comercial Ltda -  Ipixuna;M. Moto Ipixuna;M. Ipixuna;Motocenter;Moto Pará
2.32;2;Monaco Motocenter Comercial Ltda - Sta Isabel;M. Moto Sta Isabel;M. Sta Isabel;Motocenter;Moto Pará
2.29;2;Monaco Motocenter Comercial Ltda - Benevides;M. Moto Benevides;M. Benevides;Motocenter;Moto Pará
2.35;2;Monaco Motocenter Comercial Ltda-Moju;M. Moto Moju;M. Moju;Motocenter;Moto Pará
2.36;2;Monaco Motocenter Comercial Ltda - Vigia;M. Moto Vigia;M. Vigia;Motocenter;Moto Pará
2.37;2;Monaco Motocenter Comercial Ltda - Comercio;M. Moto Belem;M. Belem;Motocenter;Moto Pará
2.1;2;Monaco Motocenter Comercial Ltda;M. Moto Belem;M. Pará;Motocenter;Moto Pará
2.38;2;Monaco Motocenter Comercial Ltda;M. Moto Marituba;M. Marituba;Motocenter;Moto Pará
3.2;3;M. Diesel Caminhoes E Onibus Filial Rondonopolis;M. Diesel Rondonopolis;D. Rondonopolis;Diesel;Diesel Mato Grosso
3.3;3;M. Diesel Caminhoes E Onibus Filial Sinop;M. Diesel Sinop;D. Sinop;Diesel;Diesel Mato Grosso
3.4;3;M. Diesel Caminhoes E Onibus Filial Agua Boa;M. Diesel Agua Boa;D. Agua Boa;Diesel;Diesel Mato Grosso
3.1;3;M. Diesel Caminhoes E Onibus Ltda - Cuiabá;M. Diesel Cuiabá;D. Cuiabá;Diesel;Diesel Mato Grosso
3.5;3;M Diesel Caminhoes E Onibus Ltda - Lucas Rio Verde;M. Diesel Lucas Rio Verde;D. Lucas Rio Verde;Diesel;Diesel Mato Grosso
4.2;4;Monaco Diesel Cam.Onibus E Tratores Filial Picos;M. Diesel Picos;D. Picos;Diesel;Diesel Piauí
4.3;4;Monaco Diesel Cam.Onibus E Tratores Filial Uruçuí;M. Diesel Uruçuí;D. Uruçuí;Diesel;Diesel Piauí
